"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pmascul","pfemeni","pob0_4","p5_mas","pob6_14","pob12_","pob15_","pob15_17","pob15_24","pobf15_49","pob18_","pmasc18_","pfemen18_","psderss","pcderss","pderimss","pderiste","pnacent","pnacoent","p5_res95","p5_reso95","pcondisc","pcdismot","pcdisaud","pcdisvis","pcdismen","pcdislen","psindisc","p6_14slee","p6_14nlee","p15_alfab","p15_analf","p5_asiesc","p5_naesc","p6_14aesc","p6_14naesc","p15_17aesc","p15_24aesc","p15_24nesc","p15_sinstr","p15_sprima","p15_cprima","p15_pospri","p15_ssecu","p15_csecu","p15_sinsec","p15_consec","p15_cmedss","p18_smedsu","p18_cmedsu","p18_csuper","gradoesco","psolter12_","pcasada12_","p5_hli","p5_hliyne","p5_hliye","p5_catolic","p5_ncatoli","p5_sinreli","pecoactiv","pecoinact","pocupada","pocusecp","pocusecs","pocusect","pocuningr","p_1sm","p1_2sm","p2_5sm","p6_10sm","p10_sm","pnotraba","p_32htra","p33_40htr","p41_48htr","p48_htr","totvivhab","vivparhab","ocuvivpar","pro_ovp","pro_ocvp","vp_pardes","vp_tecdes","vp_pisdes","vp_ccuart","vp2_5cuar","vp_2cuar","v_1cuarto","vp_cocgas","vp_coclen","vp_coccar","vp_cocpet","vp_sersan","vp_aguent","vp_drenaj","vp_electr","vp_dreagu","vp_dreele","vp_aguele","vp_agdrel","vp_noade","vp_propia","vp_ppagad","vp_ppagan","vp_rentad","vp_cbiene","vp_sbiene","vp_radio","vp_tv","vp_video","vp_refri","vp_lavad","vp_telef","vp_boiler","vp_autom","tothog","hogjefm","hogjeff","pobhog","phogjefm","phogjeff"
31,Yucatán,000,Total de la entidad Yucatán,0000,TOTAL DE LA ENTIDAD,,,,1658210,818205,840005,173213,1472683,332163,1212854,1103497,107123,335659,438882,996374,483351,513023,893432,747250,651234,85550,1529399,116629,1422300,47089,47774,19731,7225,17667,6753,2139,1595818,286349,44929,966608,135581,29246,6704,308166,22933,64088,117070,217426,121501,282291,182274,507285,59150,170471,586275,233932,273353,733509,154542,98666,7,445414,675325,549532,48066,497722,1241108,169516,220357,623033,586740,618448,106170,174285,328971,57168,145770,214924,122313,37051,18060,10881,121250,106557,145425,217489,373432,371242,1645421,4.43,1.71,6303,38285,349258,105612,248013,91297,50268,227967,132884,4422,93,281762,332519,216964,353997,210505,215674,323813,209597,7462,313418,259107,43818,26766,17145,30030,292706,307738,104513,215794,193149,105081,74913,86783,387573,319320,68253,1645489,1408724,236765
31,Yucatán,000,Total de la entidad Yucatán,9998,LOCALIDADES DE UNA VIVIENDA,,,,7296,4472,2824,836,6425,1389,5398,4872,470,1372,1340,4402,2803,1599,5652,1503,1382,80,6874,323,6088,249,173,57,32,79,19,12,7018,961,424,3131,1656,63,97,978,401,160,200,1148,1549,1925,659,604,184,235,4133,420,184,4098,107,65,5,1840,3184,4597,730,3836,5395,592,909,3245,2062,3242,2659,233,332,763,1000,1220,137,19,13,32,457,416,751,1531,2018,2005,6993,3.49,1.85,27,220,1344,1308,668,846,673,267,1705,5,2,841,538,498,743,301,358,357,236,988,858,799,24,17,7,855,992,479,72,257,136,67,98,132,2051,1988,63,7002,6783,219
31,Yucatán,000,Total de la entidad Yucatán,9999,LOCALIDADES DE DOS VIVIENDAS,,,,2993,1662,1331,394,2515,574,2039,1859,202,609,643,1657,943,714,2349,527,513,10,2826,82,2463,45,71,27,15,34,15,9,2830,406,168,1173,683,35,43,441,131,39,69,537,657,685,272,225,46,102,1615,148,77,1567,42,29,4,727,1223,1966,567,1377,2109,246,375,1153,884,1152,891,105,146,448,287,321,57,3,6,14,176,211,264,463,702,679,2865,4.22,2.06,10,64,393,428,240,300,221,82,589,0,0,287,195,141,267,107,123,150,96,345,391,358,9,2,7,314,302,165,35,75,46,29,51,43,688,647,41,2865,2700,165
31,Yucatán,001,Abalá,0000,TOTAL MUNICIPAL,,,,5230,2701,2529,578,4626,1098,3762,3391,358,1119,1237,3033,1597,1436,2724,2450,2359,77,5163,12,4588,10,253,99,38,127,14,11,4891,884,212,2638,750,119,10,999,92,164,212,895,1050,1017,666,638,143,386,2733,529,109,2916,86,11,4,1300,2222,3331,309,3001,3183,555,1395,1652,2084,1645,528,566,506,135,631,687,118,4,2,23,323,305,453,466,1138,1134,5214,4.60,3.09,22,580,1068,701,422,567,288,123,997,3,0,581,1024,65,1043,59,63,960,57,22,1034,934,6,4,0,185,755,790,55,317,222,7,1,27,1244,1112,132,5214,4723,491
31,Yucatán,001,Abalá,0001,ABALA,0894047,203848,17,1614,824,790,142,1462,324,1208,1095,115,347,403,980,516,464,587,1008,938,72,1594,7,1453,5,79,38,9,29,10,5,1515,273,50,935,160,37,1,309,12,80,109,234,113,405,209,362,63,213,727,276,86,897,68,9,5,450,685,661,14,642,1311,95,143,540,666,538,143,166,218,88,165,207,60,2,1,5,122,114,114,169,375,373,1606,4.31,2.60,1,199,358,205,163,167,81,58,313,0,0,113,326,49,348,44,48,308,43,7,320,273,4,3,0,47,247,284,33,122,100,1,1,16,387,348,39,1606,1479,127
31,Yucatán,001,Abalá,0003,MUCUYCHE,0893615,203720,12,435,220,215,48,387,102,308,275,33,82,96,242,124,118,356,79,77,2,431,1,384,1,21,9,6,12,0,1,405,95,7,201,74,9,1,98,2,16,18,63,54,133,44,40,19,18,231,37,3,236,2,0,3,104,182,365,27,338,229,119,155,146,161,145,35,72,37,8,103,28,1,1,0,5,48,29,34,23,102,102,435,4.26,3.33,1,62,95,76,23,46,47,2,99,0,0,77,95,3,88,3,2,85,2,3,95,48,0,0,0,31,52,50,3,16,9,0,0,0,111,101,10,435,409,26
31,Yucatán,001,Abalá,0005,SIHUNCHEN,0894048,204135,12,294,159,135,34,260,51,221,200,22,68,71,178,99,79,66,224,220,2,293,0,254,3,16,4,4,10,1,1,276,47,4,169,31,9,0,47,4,9,10,58,29,91,44,34,17,12,164,29,5,171,5,0,4,75,138,156,1,153,257,0,2,97,121,97,51,17,28,3,18,62,8,0,0,0,10,10,41,27,62,62,294,4.74,3.23,1,43,55,37,25,34,8,16,46,0,0,56,61,0,57,0,0,56,0,0,59,59,0,0,0,3,45,56,5,30,27,1,0,2,72,71,1,294,291,3
31,Yucatán,001,Abalá,0006,TEMOZON,0893908,204123,9,634,332,302,62,568,109,480,443,43,152,168,400,216,184,144,471,461,0,630,1,566,1,62,17,10,39,2,2,549,90,18,358,85,13,3,87,21,13,17,134,75,147,125,94,18,70,347,88,6,393,5,0,5,164,282,426,11,413,515,38,46,234,234,234,58,61,106,7,48,153,7,1,1,4,33,17,81,84,126,126,634,5.03,3.56,0,4,121,82,43,94,12,25,98,1,0,98,114,5,122,5,5,111,5,1,125,123,0,0,0,8,98,107,6,54,47,1,0,4,156,143,13,634,583,51
31,Yucatán,001,Abalá,0007,UAYALCEH,0893538,204140,9,1759,905,854,230,1522,407,1202,1069,123,386,409,946,479,467,1337,412,410,1,1728,0,1504,0,37,13,5,19,1,1,1694,291,116,723,344,40,5,358,48,33,42,338,727,104,171,63,9,48,1002,57,6,937,3,2,2,398,726,1502,255,1239,453,303,1043,487,709,484,187,190,85,21,225,177,39,0,0,9,94,97,136,121,359,358,1755,4.90,3.32,18,246,327,213,143,157,115,17,334,1,0,169,326,5,331,4,5,309,4,6,345,343,1,0,0,75,237,223,5,67,24,2,0,3,393,334,59,1755,1518,237
31,Yucatán,001,Abalá,0008,PEBA,0894108,204321,12,234,115,119,29,204,48,166,150,13,36,45,137,75,62,126,108,108,0,234,0,204,0,14,8,1,4,0,1,220,48,0,127,23,5,0,48,0,8,10,26,17,77,23,32,10,19,117,29,3,133,3,0,4,57,95,116,0,115,204,0,0,78,88,78,35,22,21,6,39,29,1,0,0,0,6,29,21,19,51,51,234,4.59,3.25,1,23,50,33,18,27,11,3,47,1,0,21,49,2,48,2,2,47,2,1,37,35,1,0,0,4,39,38,3,17,11,1,0,1,59,51,8,234,195,39
31,Yucatán,001,Abalá,0009,CACAO,0894447,204134,11,235,133,102,30,201,52,160,143,8,46,42,135,78,57,93,138,135,0,228,3,201,0,22,8,3,14,0,0,209,37,15,110,32,5,0,48,4,4,5,41,32,56,44,10,6,4,132,10,0,134,0,0,4,49,103,94,1,90,196,0,2,60,98,59,12,36,10,1,30,26,1,0,0,0,5,9,26,18,55,54,231,4.28,3.98,0,1,54,50,4,37,13,0,54,0,0,43,50,0,45,0,0,41,0,0,51,51,0,1,0,16,31,30,0,9,3,1,0,0,58,56,2,231,223,8
31,Yucatán,001,Abalá,0023,SAN PEDRO OCHIL,0894300,203854,12,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
31,Yucatán,001,Abalá,0025,SAN JUAN TEHBACAL,0893749,204308,9,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
31,Yucatán,001,Abalá,0026,SANTA TERESITA,0893744,204306,9,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
